Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
APSRTC - 35119,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),09:30,15:45,06h 15m,720,36 Seats available,"4.6
59",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 23700,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:15,15:50,05h 35m,436,34 Seats available,4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 9310,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:15,16:50,06h 35m,436,33 Seats available,"3.5
11",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3543,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:15,17:50,07h 35m,469,26 Seats available,"2.6
22",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3657,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),10:30,16:25,05h 55m,720,41 Seats available,"4.4
105",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3513,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:39,19:45,09h 06m,469,29 Seats available,"3.6
6",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 9400,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:45,17:30,06h 45m,469,34 Seats available,"2.8
10",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30,17:00,05h 30m,670,48 Seats available,"4.0
45",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 9356,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",11:30,18:05,06h 35m,469,31 Seats available,"2.0
4",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,18:55,06h 40m,720,45 Seats available,"3.7
66",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 2456,INDRA(A.C. Seater),12:15,17:00,04h 45m,528,18 Seats available,4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3601,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",12:30,20:35,08h 05m,469,33 Seats available,"4.1
11",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3515,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",13:00,21:00,08h 00m,469,33 Seats available,"2.3
15",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3823,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",13:00,20:45,07h 45m,469,34 Seats available,"2.8
13",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 35117,INDRA(A.C. Seater),13:00,19:45,06h 45m,567,33 Seats available,"3.8
41",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 4725,INDRA(A.C. Seater),13:10,18:10,05h 00m,528,36 Seats available,"2.0
4",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 23879,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",13:50,18:50,05h 00m,436,33 Seats available,"3.2
4",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,20:04,06h 04m,720,40 Seats available,"4.2
99",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 23545,INDRA(A.C. Seater),14:15,18:00,03h 45m,528,36 Seats available,"1.9
13",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3549,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",14:30,21:00,06h 30m,436,33 Seats available,"3.4
13",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3825,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",14:30,21:21,30h 51m,469,31 Seats available,"3.9
14",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,20:30,06h 00m,720,42 Seats available,"4.3
96",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,20:00,05h 00m,670,4 Seats available,"3.9
71",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3525,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",15:00,23:00,08h 00m,469,32 Seats available,"4.1
16",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 99611,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",15:20,19:50,04h 30m,436,27 Seats available,"1.2
5",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 4052,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",15:30,22:00,06h 30m,436,31 Seats available,"3.4
8",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:30,21:25,05h 55m,720,40 Seats available,"3.9
98",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 35271,INDRA(A.C. Seater),16:00,21:50,05h 50m,567,34 Seats available,"3.8
67",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30,22:25,05h 55m,720,35 Seats available,"4.1
112",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 24251,INDRA(A.C. Seater),17:00,21:55,04h 55m,528,12 Seats available,"2.8
8",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,22:50,05h 50m,720,44 Seats available,"3.7
73",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,00:07,06h 22m,720,40 Seats available,"3.9
96",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,01:25,06h 55m,720,46 Seats available,"4.1
74",Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
