Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
APSRTC - 35119,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),09:30 AM,03:45 PM,06h 15m,720.0,36,4.6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 23700,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:15 AM,03:50 PM,05h 35m,436.0,34,4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 9310,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:15 AM,04:50 PM,06h 35m,436.0,33,3.5,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3543,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:15 AM,05:50 PM,07h 35m,469.0,26,2.6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3657,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),10:30 AM,04:25 PM,05h 55m,720.0,41,4.4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3513,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:39 AM,07:45 PM,09h 06m,469.0,29,3.6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 9400,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",10:45 AM,05:30 PM,06h 45m,469.0,34,2.8,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30 AM,05:00 PM,05h 30m,670.0,48,4.0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 9356,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",11:30 AM,06:05 PM,06h 35m,469.0,31,2.0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15 PM,06:55 PM,06h 40m,720.0,45,3.7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
