Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,05:20,08h 20m,997,37 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),22:20,05:20,07h 00m,873,37 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
PEPSU (Punjab) - 67064,Volvo AC Seater (2+2),23:58,07:58,08h 00m,997,36 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
RSRTC - 156675,Express Non AC Seater 2+3,22:30,05:15,06h 45m,436,31 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:00,06h 40m,509,10 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:40,06:30,06h 50m,649,7 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
AdGolden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:40,05:05,06h 25m,594,19 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),22:30,05:15,06h 45m,741,8 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,A/C Sleeper (2+1),23:00,05:50,06h 50m,699,6 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,03:50,06h 50m,539,2 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
AdGolden Temple Volvo Bus Service,A/C Seater / Sleeper (2+2),23:40,05:00,05h 20m,561,38 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,03:00,07h 00m,643,3 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:15,06:05,07h 50m,639,8 Seats available,,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,05:20,08h 20m,997,37 Seats available,,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),22:20,05:20,07h 00m,873,37 Seats available,,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
