Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
APSRTC - 4795,INDRA(A.C. Seater),20:50,04:00,07h 10m,581,2 Seats available,"4.0
23",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3883,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",20:50,04:30,07h 40m,469,6 Seats available,"4.1
28",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 35064,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",20:55,04:30,07h 35m,488,2 Seats available,"3.8
12",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 4353,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:00,04:15,07h 15m,436,1 Seat available,"4.2
124",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3612,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:00,04:50,07h 50m,469,1 Seat available,"3.9
41",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 4351,STAR LINER(NON-AC SLEEPER 2+1),21:00,04:00,07h 00m,607,1 Seat available,"3.8
49",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 2676,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),21:00,04:00,07h 00m,670,2 Seats available,"4.0
31",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 9655,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:10,05:05,07h 55m,412,3 Seats available,"4.2
81",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 4821,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:15,04:30,07h 15m,517,2 Seats available,"4.2
54",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3618,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:25,05:30,08h 05m,436,5 Seats available,"4.1
52",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
