Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
UPSRTC - BLP0013,Ordinary Non AC Seater 2+3,00:05,06:00,05h 55m,468,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - GND0080,Ordinary Non AC Seater 2+3,00:10,07:30,07h 20m,468,52 Seats available,"3.3
13",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - PLB0002,Shatabdi AC Seater 2+2,00:25,06:00,05h 35m,560,29 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - GRH0126,Ordinary Non AC Seater 2+3,00:31,06:30,05h 59m,459,52 Seats available,"2.8
9",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - STD0072,Ordinary Non AC Seater 2+3,00:40,05:45,05h 05m,560,36 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - GND0100,Ordinary Non AC Seater 2+3,01:03,08:00,06h 57m,454,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0707,Ordinary Non AC Seater 2+3,04:11,10:12,06h 01m,499,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0154,Ordinary Non AC Seater 2+3,06:00,11:30,05h 30m,492,52 Seats available,"3.2
7",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0881,Shatabdi AC Seater 2+2,06:00,11:00,05h 00m,560,37 Seats available,"3.3
5",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0156,Ordinary Non AC Seater 2+3,07:00,12:30,05h 30m,492,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0150,Ordinary Non AC Seater 2+3,07:05,11:45,04h 40m,560,33 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0145,Rajdhani Non AC Seater 2+3,07:30,12:30,05h 00m,448,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0052,Ordinary Non AC Seater 2+3,08:00,13:30,05h 30m,448,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0133,Ordinary Non AC Seater 2+3,08:15,13:45,05h 30m,560,36 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - PLB0108,Rajdhani Non AC Seater 2+3,08:30,14:39,06h 09m,499,51 Seats available,"2.9
5",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0108,Ordinary Non AC Seater 2+3,09:02,13:45,04h 43m,560,36 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - PLB0314,Ordinary Non AC Seater 2+3,09:25,15:22,05h 57m,499,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - KSB0405,Shatabdi AC Seater 2+2,09:35,15:05,05h 30m,560,37 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0053,Ordinary Non AC Seater 2+3,10:00,15:30,05h 30m,492,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
