Route Name,Route Link
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Patna (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Patna (Bihar) to Darbhanga,https://www.redbus.in/bus-tickets/patna-to-darbhanga
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Patna (Bihar) to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/patna-to-muzaffarpur
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari
Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra
Lucknow to Darbhanga,https://www.redbus.in/bus-tickets/lucknow-to-darbhanga
Muzaffarpur (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu
Patna (Bihar) to Chhapra (Bihar),https://www.redbus.in/bus-tickets/patna-to-chapra
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Purnea to Patna (Bihar),https://www.redbus.in/bus-tickets/purnea-to-patna
Lucknow to Gopalganj (Bihar),https://www.redbus.in/bus-tickets/lucknow-to-gopalganj
Hajipur (Bihar) to Delhi,https://www.redbus.in/bus-tickets/hajipur-to-delhi
Agra to Darbhanga,https://www.redbus.in/bus-tickets/agra-to-darbhanga
Ranchi to Bihar Sharif,https://www.redbus.in/bus-tickets/ranchi-to-bihar-sharif
Patna (Bihar) to Munger,https://www.redbus.in/bus-tickets/patna-to-munger
Hajipur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/hajipur-to-ranchi
